complex.id	complex.name	organism	protein.members
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Human	DTNBP1
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Human	SNAPIN
24	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Mouse	Bloc1s1
24	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Mouse	Bloc1s2
24	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Mouse	Bloc1s3
24	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Mouse	Bloc1s4
24	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Mouse	Bloc1s5
24	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Mouse	Bloc1s6
24	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Mouse	Dtnbp1
24	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Mouse	Snapin
25	Ahr-Aip-Hsp90aa1-Hsp90ab1 complex	Mouse	Ahr
25	Ahr-Aip-Hsp90aa1-Hsp90ab1 complex	Mouse	Aip
25	Ahr-Aip-Hsp90aa1-Hsp90ab1 complex	Mouse	Hsp90aa1
25	Ahr-Aip-Hsp90aa1-Hsp90ab1 complex	Mouse	Hsp90ab1
26	Bestrophin-protein phosphatase 2A complex	Pig	BEST1
26	Bestrophin-protein phosphatase 2A complex	Pig	PPP2CA
26	Bestrophin-protein phosphatase 2A complex	Pig	PPP2R1A
27	Arp2/3 protein complex	Human	ACTR2
27	Arp2/3 protein complex	Human	ACTR3
27	Arp2/3 protein complex	Human	ARPC1B
27	Arp2/3 protein complex	Human	ARPC2
27	Arp2/3 protein complex	Human	ARPC3
27	Arp2/3 protein complex	Human	ARPC4
27	Arp2/3 protein complex	Human	ARPC5
28	Modulator	Bovine	PSMC3
28	Modulator	Bovine	PSMC6
28	Modulator	Bovine	PSMD9
29	PA28gamma complex	Human	PSME3
30	PA28 complex	Human	PSME1
30	PA28 complex	Human	PSME2
31	PA28 complex	Bovine	PSME1
31	PA28 complex	Bovine	PSME2
32	PA700 complex	Human	PSMC1
32	PA700 complex	Human	PSMC2
32	PA700 complex	Human	PSMC3
32	PA700 complex	Human	PSMC4
32	PA700 complex	Human	PSMC5
32	PA700 complex	Human	PSMC6
32	PA700 complex	Human	PSMD1
32	PA700 complex	Human	PSMD10
32	PA700 complex	Human	PSMD11
32	PA700 complex	Human	PSMD12
32	PA700 complex	Human	PSMD13
32	PA700 complex	Human	PSMD14
32	PA700 complex	Human	PSMD2
32	PA700 complex	Human	PSMD3
32	PA700 complex	Human	PSMD4
32	PA700 complex	Human	PSMD5
32	PA700 complex	Human	PSMD6
32	PA700 complex	Human	PSMD7
32	PA700 complex	Human	PSMD8
32	PA700 complex	Human	PSMD9
34	Aqp4-Dag1-Dmd-Snta1 complex	Rat	Aqp4
34	Aqp4-Dag1-Dmd-Snta1 complex	Rat	Dag1
34	Aqp4-Dag1-Dmd-Snta1 complex	Rat	Dmd
34	Aqp4-Dag1-Dmd-Snta1 complex	Rat	Snta1
36	AP1 adaptor complex	Human	AP1B1
36	AP1 adaptor complex	Human	AP1G1
36	AP1 adaptor complex	Human	AP1G2
36	AP1 adaptor complex	Human	AP1M1
36	AP1 adaptor complex	Human	AP1M2
36	AP1 adaptor complex	Human	AP1S1
36	AP1 adaptor complex	Human	AP1S2
36	AP1 adaptor complex	Human	AP1S3
37	Cdh23-Ush1c complex	Mouse	Cdh23
37	Cdh23-Ush1c complex	Mouse	Ush1c
38	20S proteasome	Mouse	Psma1
38	20S proteasome	Mouse	Psma2
38	20S proteasome	Mouse	Psma3
38	20S proteasome	Mouse	Psma4
38	20S proteasome	Mouse	Psma5
38	20S proteasome	Mouse	Psma6
38	20S proteasome	Mouse	Psma7
38	20S proteasome	Mouse	Psmb1
38	20S proteasome	Mouse	Psmb2
38	20S proteasome	Mouse	Psmb3
38	20S proteasome	Mouse	Psmb4
38	20S proteasome	Mouse	Psmb5
38	20S proteasome	Mouse	Psmb6
38	20S proteasome	Mouse	Psmb7
39	Immunoproteasome	Mouse	Psma1
39	Immunoproteasome	Mouse	Psma2
39	Immunoproteasome	Mouse	Psma3
39	Immunoproteasome	Mouse	Psma4
39	Immunoproteasome	Mouse	Psma5
39	Immunoproteasome	Mouse	Psma6
39	Immunoproteasome	Mouse	Psma7
39	Immunoproteasome	Mouse	Psmb1
39	Immunoproteasome	Mouse	Psmb10
39	Immunoproteasome	Mouse	Psmb2
39	Immunoproteasome	Mouse	Psmb3
39	Immunoproteasome	Mouse	Psmb4
39	Immunoproteasome	Mouse	Psmb8
39	Immunoproteasome	Mouse	Psmb9
40	COP9 signalosome complex	Mouse	Cops2
40	COP9 signalosome complex	Mouse	Cops3
40	COP9 signalosome complex	Mouse	Cops4
40	COP9 signalosome complex	Mouse	Cops5
40	COP9 signalosome complex	Mouse	Cops6
40	COP9 signalosome complex	Mouse	Cops7a
40	COP9 signalosome complex	Mouse	Cops8
40	COP9 signalosome complex	Mouse	Gps1
42	Cask-Mint-Veli tripartite complex	Rat	Apba1
42	Cask-Mint-Veli tripartite complex	Rat	Cask
42	Cask-Mint-Veli tripartite complex	Rat	Lin7a
44	CASK-MINT complex	Mouse	Apba1
44	CASK-MINT complex	Mouse	Cask
46	AP2 adaptor complex	Mammalia	Ap2a2
46	AP2 adaptor complex	Mammalia	AP2B1
46	AP2 adaptor complex	Mammalia	Ap2m1
46	AP2 adaptor complex	Mammalia	Ap2s1
47	DNA polymerase alpha-primase complex	Mouse	Pola1
47	DNA polymerase alpha-primase complex	Mouse	Pola2
47	DNA polymerase alpha-primase complex	Mouse	Prim1
47	DNA polymerase alpha-primase complex	Mouse	Prim2
48	RGS7-Gbeta5-Galphaq complex	Mammalia	Gnaq
48	RGS7-Gbeta5-Galphaq complex	Mammalia	Gnb5
48	RGS7-Gbeta5-Galphaq complex	Mammalia	RGS7
49	DNMT3B complex	Human	DNMT3B
49	DNMT3B complex	Human	HDAC1
49	DNMT3B complex	Human	KIF4A
49	DNMT3B complex	Human	SIN3A
49	DNMT3B complex	Human	SMARCA5
49	DNMT3B complex	Human	SMC2
49	DNMT3B complex	Human	SMC4
50	RAB5A-RABEP1-RABGEF complex	Human	RAB5A
50	RAB5A-RABEP1-RABGEF complex	Human	RABEP1
50	RAB5A-RABEP1-RABGEF complex	Human	RABGEF1
51	CCT complex (chaperonin containing TCP1 complex)	Mouse	Cct2
51	CCT complex (chaperonin containing TCP1 complex)	Mouse	Cct3
51	CCT complex (chaperonin containing TCP1 complex)	Mouse	Cct4
51	CCT complex (chaperonin containing TCP1 complex)	Mouse	Cct5
51	CCT complex (chaperonin containing TCP1 complex)	Mouse	Cct6a
51	CCT complex (chaperonin containing TCP1 complex)	Mouse	Cct7
51	CCT complex (chaperonin containing TCP1 complex)	Mouse	Cct8
51	CCT complex (chaperonin containing TCP1 complex)	Mouse	Tcp1
53	Gbeta5-rgs7 complex	Rat	Gnb5
53	Gbeta5-rgs7 complex	Rat	Rgs7
55	HDAC4-ERK1 complex	Human	HDAC4
55	HDAC4-ERK1 complex	Human	MAPK3
56	Elongin (SIII) complex	Rat	Eloa
56	Elongin (SIII) complex	Rat	Elob
56	Elongin (SIII) complex	Rat	Eloc
57	HDAC4-ERK2 complex	Human	HDAC4
57	HDAC4-ERK2 complex	Human	MAPK1
58	SMRT complex	Human	GPS2
58	SMRT complex	Human	HDAC3
58	SMRT complex	Human	NCOR2
58	SMRT complex	Human	TBL1X
58	SMRT complex	Human	TBL1XR1
59	AP3 adaptor complex	Human	AP3B1
59	AP3 adaptor complex	Human	AP3B2
59	AP3 adaptor complex	Human	AP3D1
59	AP3 adaptor complex	Human	AP3M1
59	AP3 adaptor complex	Human	AP3M2
59	AP3 adaptor complex	Human	AP3S1
59	AP3 adaptor complex	Human	AP3S2
61	Mi2/NuRD complex	Human	CHD4
61	Mi2/NuRD complex	Human	HDAC1
61	Mi2/NuRD complex	Human	HDAC2
61	Mi2/NuRD complex	Human	MBD3
61	Mi2/NuRD complex	Human	MTA2
61	Mi2/NuRD complex	Human	RBBP4
61	Mi2/NuRD complex	Human	RBBP7
62	MeCP1 complex	Human	CHD4
62	MeCP1 complex	Human	HDAC1
62	MeCP1 complex	Human	HDAC2
62	MeCP1 complex	Human	MBD2
62	MeCP1 complex	Human	MBD3
62	MeCP1 complex	Human	MTA2
62	MeCP1 complex	Human	RBBP4
62	MeCP1 complex	Human	RBBP7
65	Multiprotein trafficking complex	Rat	Apba1
65	Multiprotein trafficking complex	Rat	Cask
65	Multiprotein trafficking complex	Rat	Dlg1
65	Multiprotein trafficking complex	Rat	Kcnj12
65	Multiprotein trafficking complex	Rat	Lin7c
66	THRA-TRAP complex	Human	MED1
66	THRA-TRAP complex	Human	MED12
66	THRA-TRAP complex	Human	MED14
66	THRA-TRAP complex	Human	MED16
66	THRA-TRAP complex	Human	MED17
66	THRA-TRAP complex	Human	MED24
66	THRA-TRAP complex	Human	MED25
66	THRA-TRAP complex	Human	THRA
66	THRA-TRAP complex	Human	THRAP3
67	AP4 adaptor complex	Human	AP4B1
67	AP4 adaptor complex	Human	AP4E1
67	AP4 adaptor complex	Human	AP4M1
67	AP4 adaptor complex	Human	AP4S1
68	BCDX2 complex	Human	RAD51B
68	BCDX2 complex	Human	RAD51C
68	BCDX2 complex	Human	RAD51D
68	BCDX2 complex	Human	XRCC2
69	ApoB mRNA editing enzyme complex	Rat	A1cf
69	ApoB mRNA editing enzyme complex	Rat	Apobec1
69	ApoB mRNA editing enzyme complex	Rat	Khsrp
70	CLIC4 complex	Rat	Actb
70	CLIC4 complex	Rat	Ckb
70	CLIC4 complex	Rat	Clic4
70	CLIC4 complex	Rat	Dnm2
70	CLIC4 complex	Rat	Tuba1a
70	CLIC4 complex	Rat	Ywhae
70	CLIC4 complex	Rat	Ywhaz
72	R/M complex (RAD50-MRE11 complex)	Human	MRE11
72	R/M complex (RAD50-MRE11 complex)	Human	RAD50
74	HOMER3-IP3R-TRPC1 complex	Human	HOMER3
74	HOMER3-IP3R-TRPC1 complex	Human	ITPR3
74	HOMER3-IP3R-TRPC1 complex	Human	TRPC1
76	Dynein complex	Rat	Dnaja1
76	Dynein complex	Rat	Dync1h1
76	Dynein complex	Rat	Dync1i1
76	Dynein complex	Rat	Dync1i2
76	Dynein complex	Rat	Dync1li1
76	Dynein complex	Rat	Dync2h1
76	Dynein complex	Rat	Dynll1
76	Dynein complex	Rat	Dynlrb1
76	Dynein complex	Rat	Dynlt1
77	nNos-Capon-Dexras1 complex	Mouse	Nos1
77	nNos-Capon-Dexras1 complex	Mouse	Nos1ap
77	nNos-Capon-Dexras1 complex	Mouse	Rasd1
78	nNos-Capon-Dexras1 complex	Rat	Nos1
78	nNos-Capon-Dexras1 complex	Rat	Nos1ap
78	nNos-Capon-Dexras1 complex	Rat	Rasd1
79	nNos-Capon-Syn1 complex	Rat	Nos1
79	nNos-Capon-Syn1 complex	Rat	Nos1ap
79	nNos-Capon-Syn1 complex	Rat	Syn1
81	Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	Human	CUL7
81	Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	Human	FBXW8
81	Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	Human	RBX1
81	Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	Human	SKP1
82	Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul2, Rbx1)	Rat	Cul2
82	Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul2, Rbx1)	Rat	Elob
82	Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul2, Rbx1)	Rat	Eloc
82	Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul2, Rbx1)	Rat	Rbx1
82	Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul2, Rbx1)	Rat	Vhl
84	Nucleic acid channel complex	Rat	Mdh1
84	Nucleic acid channel complex	Rat	Nup58
85	STMN1-TUBA4A-TUBB1 complex	Bovine	STMN1
85	STMN1-TUBA4A-TUBB1 complex	Bovine	TUBA4A
85	STMN1-TUBA4A-TUBB1 complex	Bovine	TUBB1
86	NUMAC complex (nucleosomal methylation activator complex)	Human	ACTB
86	NUMAC complex (nucleosomal methylation activator complex)	Human	ARID1A
86	NUMAC complex (nucleosomal methylation activator complex)	Human	CARM1
86	NUMAC complex (nucleosomal methylation activator complex)	Human	SCYL1
86	NUMAC complex (nucleosomal methylation activator complex)	Human	SMARCA4
86	NUMAC complex (nucleosomal methylation activator complex)	Human	SMARCB1
86	NUMAC complex (nucleosomal methylation activator complex)	Human	SMARCC1
86	NUMAC complex (nucleosomal methylation activator complex)	Human	SMARCC2
86	NUMAC complex (nucleosomal methylation activator complex)	Human	SMARCD1
86	NUMAC complex (nucleosomal methylation activator complex)	Human	SMARCE1
87	Nup 107-160 subcomplex	Human	NUP107
87	Nup 107-160 subcomplex	Human	NUP133
87	Nup 107-160 subcomplex	Human	NUP160
87	Nup 107-160 subcomplex	Human	NUP37
87	Nup 107-160 subcomplex	Human	NUP43
87	Nup 107-160 subcomplex	Human	NUP85
87	Nup 107-160 subcomplex	Human	NUP98
87	Nup 107-160 subcomplex	Human	SEC13
87	Nup 107-160 subcomplex	Human	SEH1L
88	SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Sec22b, Stx5)	Rat	Bet1
88	SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Sec22b, Stx5)	Rat	Gosr1
88	SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Sec22b, Stx5)	Rat	Gosr2
88	SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Sec22b, Stx5)	Rat	Scfd1
88	SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Sec22b, Stx5)	Rat	Sec22b
88	SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Sec22b, Stx5)	Rat	Stx5
91	FA complex (Fanconi anemia complex), cytoplasmic	Human	FANCA
91	FA complex (Fanconi anemia complex), cytoplasmic	Human	FANCC
91	FA complex (Fanconi anemia complex), cytoplasmic	Human	FANCF
91	FA complex (Fanconi anemia complex), cytoplasmic	Human	FANCG
92	CD28-transactivation complex	Human	CD28
92	CD28-transactivation complex	Human	NCL
93	Anaphase-promoting complex	Human	ANAPC1
93	Anaphase-promoting complex	Human	ANAPC2
93	Anaphase-promoting complex	Human	ANAPC4
93	Anaphase-promoting complex	Human	ANAPC5
93	Anaphase-promoting complex	Human	ANAPC7
93	Anaphase-promoting complex	Human	CDC16
93	Anaphase-promoting complex	Human	CDC23
93	Anaphase-promoting complex	Human	CDC27
95	Ku antigen-NARG1 complex	Human	NAA15
95	Ku antigen-NARG1 complex	Human	XRCC5
95	Ku antigen-NARG1 complex	Human	XRCC6
96	Anaphase-promoting complex	Human	ANAPC1
96	Anaphase-promoting complex	Human	ANAPC10
96	Anaphase-promoting complex	Human	ANAPC2
96	Anaphase-promoting complex	Human	ANAPC4
96	Anaphase-promoting complex	Human	ANAPC5
96	Anaphase-promoting complex	Human	ANAPC7
96	Anaphase-promoting complex	Human	CDC16
96	Anaphase-promoting complex	Human	CDC23
96	Anaphase-promoting complex	Human	CDC27
97	Anaphase-promoting complex	Mouse	Anapc1
97	Anaphase-promoting complex	Mouse	Anapc10
97	Anaphase-promoting complex	Mouse	Anapc2
97	Anaphase-promoting complex	Mouse	Anapc4
97	Anaphase-promoting complex	Mouse	Anapc5
97	Anaphase-promoting complex	Mouse	Anapc7
97	Anaphase-promoting complex	Mouse	Ccdc27
97	Anaphase-promoting complex	Mouse	Cdc16
97	Anaphase-promoting complex	Mouse	Cdc23
98	EP300-MDM2-TP53 complex	Human	EP300
98	EP300-MDM2-TP53 complex	Human	MDM2
98	EP300-MDM2-TP53 complex	Human	TP53
100	hNURF complex	Human	BPTF
100	hNURF complex	Human	RBBP4
100	hNURF complex	Human	RBBP7
100	hNURF complex	Human	SMARCA1
101	Baz2a-Smarca5 complex	Mouse	Baz2a
101	Baz2a-Smarca5 complex	Mouse	Smarca5
102	Meiotic cohesin complex	Mouse	Rec8
102	Meiotic cohesin complex	Mouse	Smc1b
102	Meiotic cohesin complex	Mouse	Smc3
102	Meiotic cohesin complex	Mouse	Sycp3
103	RNA polymerase II holoenzyme complex	Human	ERCC2
103	RNA polymerase II holoenzyme complex	Human	ERCC3
103	RNA polymerase II holoenzyme complex	Human	GTF2B
103	RNA polymerase II holoenzyme complex	Human	GTF2E1
103	RNA polymerase II holoenzyme complex	Human	GTF2E2
103	RNA polymerase II holoenzyme complex	Human	GTF2F1
103	RNA polymerase II holoenzyme complex	Human	GTF2F2
103	RNA polymerase II holoenzyme complex	Human	GTF2H1
103	RNA polymerase II holoenzyme complex	Human	GTF2H2
103	RNA polymerase II holoenzyme complex	Human	GTF2H3
103	RNA polymerase II holoenzyme complex	Human	GTF2H4
103	RNA polymerase II holoenzyme complex	Human	POLR2A
103	RNA polymerase II holoenzyme complex	Human	POLR2B
103	RNA polymerase II holoenzyme complex	Human	POLR2C
103	RNA polymerase II holoenzyme complex	Human	POLR2D
103	RNA polymerase II holoenzyme complex	Human	POLR2E
103	RNA polymerase II holoenzyme complex	Human	POLR2F
103	RNA polymerase II holoenzyme complex	Human	POLR2G
103	RNA polymerase II holoenzyme complex	Human	POLR2H
103	RNA polymerase II holoenzyme complex	Human	POLR2I
103	RNA polymerase II holoenzyme complex	Human	POLR2J
103	RNA polymerase II holoenzyme complex	Human	POLR2K
103	RNA polymerase II holoenzyme complex	Human	POLR2L
103	RNA polymerase II holoenzyme complex	Human	TBP
104	RNA polymerase II core complex	Human	POLR2A
104	RNA polymerase II core complex	Human	POLR2B
104	RNA polymerase II core complex	Human	POLR2C
104	RNA polymerase II core complex	Human	POLR2D
104	RNA polymerase II core complex	Human	POLR2E
104	RNA polymerase II core complex	Human	POLR2F
104	RNA polymerase II core complex	Human	POLR2G
104	RNA polymerase II core complex	Human	POLR2H
104	RNA polymerase II core complex	Human	POLR2I
104	RNA polymerase II core complex	Human	POLR2J
104	RNA polymerase II core complex	Human	POLR2K
104	RNA polymerase II core complex	Human	POLR2L
106	Srf-myogenin-E12 complex	Mouse	Myog
106	Srf-myogenin-E12 complex	Mouse	Srf
106	Srf-myogenin-E12 complex	Mouse	Tcf3
107	TFIIH transcription factor complex	Human	CCNH
107	TFIIH transcription factor complex	Human	CDK7
107	TFIIH transcription factor complex	Human	ERCC2
107	TFIIH transcription factor complex	Human	ERCC3
107	TFIIH transcription factor complex	Human	GTF2H1
107	TFIIH transcription factor complex	Human	GTF2H2
107	TFIIH transcription factor complex	Human	GTF2H3
107	TFIIH transcription factor complex	Human	GTF2H4
107	TFIIH transcription factor complex	Human	MNAT1
109	Fertilin complex (Adam1b, Adam2)	Mouse	Adam1b
109	Fertilin complex (Adam1b, Adam2)	Mouse	Adam2
112	Prefoldin complex	Human	PFDN1
112	Prefoldin complex	Human	PFDN2
112	Prefoldin complex	Human	PFDN4
112	Prefoldin complex	Human	PFDN5
112	Prefoldin complex	Human	PFDN6
112	Prefoldin complex	Human	VBP1
114	SNAPc (small nuclear RNA-activating protein) complex	Human	SNAPC1
114	SNAPc (small nuclear RNA-activating protein) complex	Human	SNAPC2
114	SNAPc (small nuclear RNA-activating protein) complex	Human	SNAPC3
114	SNAPc (small nuclear RNA-activating protein) complex	Human	SNAPC4
114	SNAPc (small nuclear RNA-activating protein) complex	Human	SNAPC5
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	BMI1
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	CBX2
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	CBX4
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	CBX8
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	HSPA1A
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	PHC1
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	PHC2
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	PHC3
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	RING1
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	RNF2
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	SCMH1
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	SMARCA5
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	BMI1
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	CBX2
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	CBX4
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	CBX8
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	HSPA1A
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	PHC1
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	PHC2
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	PHC3
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	RING1
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	RNF2
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	SCMH1
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	SMARCA5
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	YY1
117	GPR56-CD81-Galpha(q/11)-Gbeta complex	Human	ADGRG1
117	GPR56-CD81-Galpha(q/11)-Gbeta complex	Human	CD81
117	GPR56-CD81-Galpha(q/11)-Gbeta complex	Human	GNA11
117	GPR56-CD81-Galpha(q/11)-Gbeta complex	Human	GNAQ
117	GPR56-CD81-Galpha(q/11)-Gbeta complex	Human	GNB1
118	GPI-GnT activity complex	Human	PIGA
118	GPI-GnT activity complex	Human	PIGC
118	GPI-GnT activity complex	Human	PIGH
118	GPI-GnT activity complex	Human	PIGQ
120	Lymphotoxin beta receptor complex	Human	LTA
120	Lymphotoxin beta receptor complex	Human	LTB
120	Lymphotoxin beta receptor complex	Human	LTBR
122	MCM complex	Mouse	Mcm2
122	MCM complex	Mouse	Mcm3
122	MCM complex	Mouse	Mcm4
122	MCM complex	Mouse	Mcm5
122	MCM complex	Mouse	Mcm6
122	MCM complex	Mouse	Mcm7
123	Rnase/Mrp complex	Human	POP1
123	Rnase/Mrp complex	Human	POP4
123	Rnase/Mrp complex	Human	POP5
123	Rnase/Mrp complex	Human	POP7
123	Rnase/Mrp complex	Human	RPP14
123	Rnase/Mrp complex	Human	RPP21
123	Rnase/Mrp complex	Human	RPP25
123	Rnase/Mrp complex	Human	RPP30
123	Rnase/Mrp complex	Human	RPP38
123	Rnase/Mrp complex	Human	RPP40
124	RGS9-GNB5-GNAT1-R9AP complex	Bovine	GNAT1
124	RGS9-GNB5-GNAT1-R9AP complex	Bovine	GNB5
124	RGS9-GNB5-GNAT1-R9AP complex	Bovine	RGS9
124	RGS9-GNB5-GNAT1-R9AP complex	Bovine	RGS9BP
126	CCT complex (chaperonin containing TCP1 complex)	Human	CCT2
126	CCT complex (chaperonin containing TCP1 complex)	Human	CCT3
126	CCT complex (chaperonin containing TCP1 complex)	Human	CCT4
126	CCT complex (chaperonin containing TCP1 complex)	Human	CCT5
126	CCT complex (chaperonin containing TCP1 complex)	Human	CCT6A
126	CCT complex (chaperonin containing TCP1 complex)	Human	CCT7
126	CCT complex (chaperonin containing TCP1 complex)	Human	CCT8
126	CCT complex (chaperonin containing TCP1 complex)	Human	TCP1
127	NDC80 kinetochore complex	Human	NDC80
127	NDC80 kinetochore complex	Human	NUF2
127	NDC80 kinetochore complex	Human	SPC24
127	NDC80 kinetochore complex	Human	SPC25
128	ORC complex (origin recognition complex)	Mouse	Orc1
128	ORC complex (origin recognition complex)	Mouse	Orc2
128	ORC complex (origin recognition complex)	Mouse	Orc3
128	ORC complex (origin recognition complex)	Mouse	Orc4
128	ORC complex (origin recognition complex)	Mouse	Orc5
128	ORC complex (origin recognition complex)	Mouse	Orc6
129	PIDDsome complex	Human	CASP2
129	PIDDsome complex	Human	CRADD
129	PIDDsome complex	Human	PIDD1
136	Troponin complex	Rabbit	TNNC2
136	Troponin complex	Rabbit	TNNI2
136	Troponin complex	Rabbit	TNNT3
138	Telomere-associated protein complex	Human	ACD
138	Telomere-associated protein complex	Human	POT1
138	Telomere-associated protein complex	Human	TERF1
138	Telomere-associated protein complex	Human	TERF2
138	Telomere-associated protein complex	Human	TERF2IP
138	Telomere-associated protein complex	Human	TINF2
139	SDH-mABC1-PIC-ANT-ATPase complex	Rat	Abcb8
139	SDH-mABC1-PIC-ANT-ATPase complex	Rat	Atp5f1a
139	SDH-mABC1-PIC-ANT-ATPase complex	Rat	Sdha
139	SDH-mABC1-PIC-ANT-ATPase complex	Rat	Sdhb
139	SDH-mABC1-PIC-ANT-ATPase complex	Rat	Slc25a3
139	SDH-mABC1-PIC-ANT-ATPase complex	Rat	Slc25a4
140	E-box sequence-binding complex	Human	BEX2
140	E-box sequence-binding complex	Human	LDB1
140	E-box sequence-binding complex	Human	LMO2
140	E-box sequence-binding complex	Human	NHLH2
142	CD147-gamma-secretase complex	Human	APH1A
142	CD147-gamma-secretase complex	Human	BSG
142	CD147-gamma-secretase complex	Human	NCSTN
142	CD147-gamma-secretase complex	Human	PSEN1
142	CD147-gamma-secretase complex	Human	PSENEN
